trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,335410,0,-2.492573655778875,1.2245719948280438,0.05,20.0,277148.6647,4686466.014,4.363889,177.1697,277148.6647,4686466.014
219,335410,1,-1.674830843363456,0.7536190324815681,-0.75,26.0,277148.6647,4686466.014,4.363889,177.1697,277148.6647,4686466.014
219,335420,0,-2.497158610006689,0.2825514229631443,-5.05,24.0,277148.6659,4686465.013,4.469445,178.5518,277148.6647,4686466.014
219,335420,1,-1.6966559489959232,0.2923233068491733,-1.25,38.0,277148.6659,4686465.013,4.469445,178.5518,277148.6647,4686466.014
219,335430,0,-2.443383605833675,0.4312398519890517,-0.55,22.0,277148.6659,4686465.013,4.547223,178.5518,277148.6647,4686466.014
219,335430,1,-1.7953603488967567,0.34483465267287405,0.35,36.0,277148.6659,4686465.013,4.547223,178.5518,277148.6647,4686466.014
219,335440,0,-2.216995315236414,0.28547174203200343,-11.7,20.0,277148.6659,4686465.013,4.619445,178.5518,277148.6647,4686466.014
219,335440,1,-1.8228234496731741,0.4455609059326091,-0.55,38.0,277148.6659,4686465.013,4.619445,178.5518,277148.6647,4686466.014
219,335450,0,-2.021612308843266,-0.8654830456412104,-4.85,40.0,277148.6403,4686463.947,4.636112,179.3847,277148.6647,4686466.014
219,335450,1,-1.8281868473101477,-0.5475418705306239,-0.5,38.0,277148.6403,4686463.947,4.636112,179.3847,277148.6647,4686466.014
219,335460,1,-1.8071141201152585,-0.44776241288242025,-0.6,38.0,277148.6403,4686463.947,4.675001,179.3847,277148.6647,4686466.014
219,335470,1,-1.836038509789206,-0.34744601501053873,1.9,40.0,277148.6403,4686463.947,4.722223,179.3847,277148.6647,4686466.014
219,335480,1,-1.8464845095159232,-1.3296741530022635,1.65,38.0,277148.6527,4686462.779,4.775001,177.9957,277148.6647,4686466.014
219,335490,1,-1.9932450352659763,-1.234483039543243,4.15,32.0,277148.6527,4686462.779,4.955556,177.9957,277148.6647,4686466.014
219,335500,1,-2.1347207437322653,-2.3983401795605266,1.85,38.0,277148.6403,4686461.613,4.886112,178.8526,277148.6647,4686466.014
219,335510,0,-1.9129769348747028,-2.8128636206749467,0.15,38.0,277148.6403,4686461.613,5.011112,178.8526,277148.6647,4686466.014
219,335510,1,-2.0969314668315993,-2.5091191060372022,-0.5,36.0,277148.6403,4686461.613,5.011112,178.8526,277148.6647,4686466.014
219,335520,0,-2.050545914902827,-2.6900842423819227,5.95,36.0,277148.6403,4686461.613,5.030556,178.8526,277148.6647,4686466.014
219,335520,1,-2.1977123984261864,-2.5471086286312943,2.2,32.0,277148.6403,4686461.613,5.030556,178.8526,277148.6647,4686466.014
219,335530,0,-2.2193785489364397,-3.8024410009674425,3.3,36.0,277148.6266,4686460.401,5.18889,179.7232,277148.6647,4686466.014
219,335530,1,-2.399086585253337,-3.7415721116796883,3.8,24.0,277148.6266,4686460.401,5.18889,179.7232,277148.6647,4686466.014
219,335540,0,-2.3384592485944458,-3.6118634918826618,3.9,24.0,277148.6266,4686460.401,5.211112,179.7232,277148.6647,4686466.014
219,335540,1,-2.598552835549318,-3.6306071848205184,3.55,40.0,277148.6266,4686460.401,5.211112,179.7232,277148.6647,4686466.014
219,335550,0,-2.4304335723185764,-4.664069125402667,2.8,32.0,277148.6043,4686459.179,5.322223,179.7363,277148.6647,4686466.014
