trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,335121,1,-4.028124861154894,0.817930377810888,-1.55,18.0,277148.4601,4686472.301,1.113889,134.8318,277148.4601,4686472.301
219,335131,0,-3.137894560448066,-0.4563178733186251,-0.8,28.0,277148.4692,4686472.067,1.202778,137.4997,277148.4601,4686472.301
219,335131,1,-3.9931321677729015,0.32737124553992547,-1.3,40.0,277148.4692,4686472.067,1.202778,137.4997,277148.4601,4686472.301
219,335131,2,-2.8890718605890524,-0.6436338204103524,-0.75,28.0,277148.4692,4686472.067,1.202778,137.4997,277148.4601,4686472.301
219,335141,0,-3.147117690385339,-0.4071758966168243,1.7,24.0,277148.4692,4686472.067,1.369445,137.4997,277148.4601,4686472.301
219,335141,1,-3.973452313269626,0.2008299347883376,-0.45,18.0,277148.4692,4686472.067,1.369445,137.4997,277148.4601,4686472.301
219,335141,2,-2.9671168217314,-0.4771736628942397,4.25,40.0,277148.4692,4686472.067,1.369445,137.4997,277148.4601,4686472.301
219,335151,0,-2.372323554070425,-2.635903589771315,-0.75,28.0,277148.4768,4686471.789,1.519445,177.6519,277148.4601,4686472.301
219,335151,2,-2.098453198429026,-2.547049617992594,-2.55,30.0,277148.4768,4686471.789,1.519445,177.6519,277148.4601,4686472.301
219,335161,0,-2.2163039104306157,-2.492175127737844,-9.0,40.0,277148.4768,4686471.789,1.444445,177.6519,277148.4601,4686472.301
219,335161,2,-2.2346482932613223,-2.451389301540984,2.8,40.0,277148.4768,4686471.789,1.444445,177.6519,277148.4601,4686472.301
219,335171,0,-1.9837800431087582,-2.7590206407044944,-3.05,30.0,277148.4913,4686471.466,1.397222,178.968,277148.4601,4686472.301
219,335171,2,-2.2926491091754615,-2.6934470177522556,-5.65,40.0,277148.4913,4686471.466,1.397222,178.968,277148.4601,4686472.301
219,335181,0,-1.8523602642360302,-2.6813750244660794,-3.4,32.0,277148.4913,4686471.466,1.536111,178.968,277148.4601,4686472.301
219,335181,2,-2.2014029502207313,-2.6250793464740254,-5.3,28.0,277148.4913,4686471.466,1.536111,178.968,277148.4601,4686472.301
219,335191,0,-1.670588379285925,-2.5846331935877775,-4.15,36.0,277148.4913,4686471.466,1.636111,178.968,277148.4601,4686472.301
219,335191,1,-2.3640738793139677,-3.8823534489783045,4.85,26.0,277148.4913,4686471.466,1.636111,178.968,277148.4601,4686472.301
219,335191,2,-2.0601649016683026,-2.5576122163949884,-6.7,34.0,277148.4913,4686471.466,1.636111,178.968,277148.4601,4686472.301
219,335201,0,-1.7469688827619245,-2.720843983404147,-0.4,34.0,277148.5048,4686471.11,1.75,173.6009,277148.4601,4686472.301
219,335201,2,-1.9909531673739926,-2.653229866073981,-4.8,32.0,277148.5048,4686471.11,1.75,173.6009,277148.4601,4686472.301
219,335211,2,-1.8584195106118888,-2.6379057078502823,1.8,40.0,277148.5048,4686471.11,1.833333,173.6009,277148.4601,4686472.301
219,335221,2,-1.8528468445057589,-2.5882172243508883,-0.05,36.0,277148.5048,4686471.11,1.961111,173.6009,277148.4601,4686472.301
219,335231,2,-1.654887229786335,-3.020981426513627,-1.65,34.0,277148.5251,4686470.709,2.055556,176.8965,277148.4601,4686472.301
219,335241,0,-2.116019959197368,-4.137653538579622,-2.85,22.0,277148.5251,4686470.709,2.186111,176.8965,277148.4601,4686472.301
219,335241,2,-1.6710681103846095,-2.950001294764915,-1.1,38.0,277148.5251,4686470.709,2.186111,176.8965,277148.4601,4686472.301
219,335251,0,-2.207726511279961,-4.350137327230014,-1.6,28.0,277148.5608,4686470.274,2.280556,173.4866,277148.4601,4686472.301
219,335251,2,-1.820088156636577,-3.246988875747001,2.25,38.0,277148.5608,4686470.274,2.280556,173.4866,277148.4601,4686472.301
219,335261,0,-2.0672220572223865,-4.265529417493497,-5.65,26.0,277148.5608,4686470.274,2.366667,173.4866,277148.4601,4686472.301
219,335261,2,-1.9214376547898966,-3.164962787067423,2.55,36.0,277148.5608,4686470.274,2.366667,173.4866,277148.4601,4686472.301
219,335271,0,-1.8299569679711298,-4.8810247235829465,-0.55,30.0,277148.5933,4686469.74,2.552778,178.2165,277148.4601,4686472.301
219,335271,1,-1.5705374346629943,-3.618486999101738,0.75,38.0,277148.5933,4686469.74,2.552778,178.2165,277148.4601,4686472.301
219,335271,2,-1.9056684674649413,-3.778134081295871,2.0,30.0,277148.5933,4686469.74,2.552778,178.2165,277148.4601,4686472.301
219,335281,0,-1.9477202312806994,-4.807323883596682,0.65,28.0,277148.5933,4686469.74,2.694445,178.2165,277148.4601,4686472.301
219,335281,1,-1.74045508063977,-3.61319610260765,4.25,38.0,277148.5933,4686469.74,2.694445,178.2165,277148.4601,4686472.301
219,335281,2,-2.1015256007068452,-3.6419724737911743,3.2,22.0,277148.5933,4686469.74,2.694445,178.2165,277148.4601,4686472.301
219,335291,0,-1.92275025270076,-4.648023851676669,-1.95,28.0,277148.5933,4686469.74,2.788889,178.2165,277148.4601,4686472.301
219,335291,1,-1.6867445488325992,-3.4948102809354546,-5.05,40.0,277148.5933,4686469.74,2.788889,178.2165,277148.4601,4686472.301
219,335291,2,-2.18681356343506,-3.489244076255972,1.1,20.0,277148.5933,4686469.74,2.788889,178.2165,277148.4601,4686472.301
