trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,347140,1,9.043825408957082,9.591664192010805,1.35,22.0,277154.6066,4686408.634,1.136111,137.9009,277154.6066,4686408.634
219,347140,2,9.936383293322216,10.281186072053512,0.7,18.0,277154.6066,4686408.634,1.136111,137.9009,277154.6066,4686408.634
219,347140,3,1.395658926068063,2.916939519785514,0.25,24.0,277154.6066,4686408.634,1.136111,137.9009,277154.6066,4686408.634
219,347160,0,10.4036607674091,8.368694082360992,1.15,26.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347160,1,10.155091699218273,8.682084283769314,1.85,22.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347160,2,11.67157806728502,8.314975178096718,0.75,22.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347160,3,1.7456678457561436,2.854452650522222,0.45,40.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347180,0,11.373287754796804,7.301441183512547,1.8,26.0,277154.41,4686408.94,2.083333,121.5396,277154.6066,4686408.634
219,347180,1,11.188629879113973,7.927301766189154,2.85,12.0,277154.41,4686408.94,2.083333,121.5396,277154.6066,4686408.634
219,347180,2,12.531887591333623,7.038674331004732,1.4,22.0,277154.41,4686408.94,2.083333,121.5396,277154.6066,4686408.634
219,347200,0,-0.8090949330827357,-13.076013755631694,1.5,24.0,277154.3955,4686409.263,2.472223,359.465,277154.6066,4686408.634
219,347200,1,0.21824569961926354,-13.365619046328286,1.8,18.0,277154.3955,4686409.263,2.472223,359.465,277154.6066,4686408.634
219,347200,2,-1.0565543711126457,-13.873737910042172,3.15,10.0,277154.3955,4686409.263,2.472223,359.465,277154.6066,4686408.634
219,347220,0,-1.5765463249773854,-12.758703414598301,2.15,24.0,277154.3365,4686409.743,2.630556,358.3228,277154.6066,4686408.634
219,347220,1,-0.5460651046776214,-13.099009827422831,1.65,20.0,277154.3365,4686409.743,2.630556,358.3228,277154.6066,4686408.634
219,347220,2,-0.5430938244532963,-13.339199692933072,2.0,40.0,277154.3365,4686409.743,2.630556,358.3228,277154.6066,4686408.634
219,347240,0,-2.02250420409582,-12.95573531570107,2.45,24.0,277154.3365,4686409.743,2.875,358.3228,277154.6066,4686408.634
219,347240,1,-0.9734949761629516,-13.346605677472919,2.45,22.0,277154.3365,4686409.743,2.875,358.3228,277154.6066,4686408.634
219,347240,2,0.1516750760300945,-13.86976182399889,4.45,16.0,277154.3365,4686409.743,2.875,358.3228,277154.6066,4686408.634
219,347260,0,-2.1158743761360252,-12.740835134279884,2.6,20.0,277154.2441,4686410.213,3.019445,359.3068,277154.6066,4686408.634
219,347260,1,-1.4802766138953094,-13.108551716221164,2.75,22.0,277154.2441,4686410.213,3.019445,359.3068,277154.6066,4686408.634
219,347260,2,-1.2478858894129958,-1.3405019818270025,2.55,26.0,277154.2441,4686410.213,3.019445,359.3068,277154.6066,4686408.634
219,347260,3,-0.1186581945099621,-3.0642899076067307,2.4,14.0,277154.2441,4686410.213,3.019445,359.3068,277154.6066,4686408.634
219,347280,0,-2.5947762496575923,-12.3474092521164,3.8,20.0,277154.1241,4686410.85,3.127778,357.1674,277154.6066,4686408.634
219,347280,1,-2.868789814159135,-12.624206229103432,3.4,28.0,277154.1241,4686410.85,3.127778,357.1674,277154.6066,4686408.634
219,347280,2,-1.5115515317955048,-0.977047595132372,2.9,26.0,277154.1241,4686410.85,3.127778,357.1674,277154.6066,4686408.634
219,347300,0,-3.4199379473341125,-11.791463832506816,3.1,20.0,277153.9588,4686411.622,3.205556,354.7953,277154.6066,4686408.634
219,347300,1,-4.144246301207598,-11.91627332136521,3.0,28.0,277153.9588,4686411.622,3.205556,354.7953,277154.6066,4686408.634
219,347300,2,-1.8335271958518857,-0.43856548329300615,2.9,26.0,277153.9588,4686411.622,3.205556,354.7953,277154.6066,4686408.634
219,347320,0,-3.489728536168744,-12.226928267001888,4.0,24.0,277153.9588,4686411.622,3.313889,354.7953,277154.6066,4686408.634
219,347320,1,-4.210388518734107,-12.201449069037897,2.45,24.0,277153.9588,4686411.622,3.313889,354.7953,277154.6066,4686408.634
219,347320,2,-1.8625557631360012,-0.7572461106951622,3.0,22.0,277153.9588,4686411.622,3.313889,354.7953,277154.6066,4686408.634
219,347340,0,-3.0984089990285395,-11.819464181122113,3.45,22.0,277153.7864,4686412.428,3.461112,356.2057,277154.6066,4686408.634
219,347340,1,-3.6012835053957666,-11.846245347002485,3.4,22.0,277153.7864,4686412.428,3.461112,356.2057,277154.6066,4686408.634
219,347340,2,-1.984197398375856,-0.3079641698737552,3.45,20.0,277153.7864,4686412.428,3.461112,356.2057,277154.6066,4686408.634
219,347360,0,-2.5973910441679715,-11.407731464354502,3.15,26.0,277153.6139,4686413.234,3.586112,356.9832,277154.6066,4686408.634
219,347360,1,-3.1103682724126513,-11.450793783177499,3.45,26.0,277153.6139,4686413.234,3.586112,356.9832,277154.6066,4686408.634
219,347360,2,-2.1083099021685827,0.15254965837519396,3.1,20.0,277153.6139,4686413.234,3.586112,356.9832,277154.6066,4686408.634
219,347380,0,-2.9082538016189936,-10.800962167571875,2.95,24.0,277153.444,4686414.118,3.511111,355.701,277154.6066,4686408.634
