trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,389361,0,-0.672407025247423,-2.9448376512802725,1.15,28.0,277154.8285,4686413.54,1.472222,2.69249,277154.8285,4686413.54
219,389361,1,0.64126079903775,-4.695059593617259,1.25,22.0,277154.8285,4686413.54,1.472222,2.69249,277154.8285,4686413.54
219,389361,2,0.3944078433476247,-14.347311331852595,0.05,22.0,277154.8285,4686413.54,1.472222,2.69249,277154.8285,4686413.54
219,389381,0,-0.7387736326272423,-2.8092092368501866,1.35,22.0,277154.7961,4686413.819,1.652778,2.11755,277154.8285,4686413.54
219,389381,2,0.4319420040951573,-14.173712081142748,0.75,20.0,277154.7961,4686413.819,1.652778,2.11755,277154.8285,4686413.54
219,389401,0,-0.8341731106142316,-2.5874195104432327,1.45,28.0,277154.7256,4686414.199,1.744445,1.92657,277154.8285,4686413.54
219,389401,2,0.3243594589002242,-14.124993011200408,2.1,22.0,277154.7256,4686414.199,1.744445,1.92657,277154.8285,4686413.54
219,389421,0,-0.8081330582579411,-2.7666453893594247,1.85,24.0,277154.7256,4686414.199,1.766667,1.92657,277154.8285,4686413.54
219,389421,2,0.3424222831537124,-14.364521160652592,2.7,26.0,277154.7256,4686414.199,1.766667,1.92657,277154.8285,4686413.54
219,389441,0,-0.9969789998314684,-2.502700301995101,1.65,24.0,277154.6319,4686414.625,1.794445,359.8343,277154.8285,4686413.54
219,389441,1,0.17795505413049328,-4.25610555145699,-0.95,40.0,277154.6319,4686414.625,1.794445,359.8343,277154.8285,4686413.54
219,389441,2,-0.5210489696119782,-14.284125963023364,2.9,30.0,277154.6319,4686414.625,1.794445,359.8343,277154.8285,4686413.54
219,389461,0,-1.35071618954004,-2.1797985561612747,1.75,26.0,277154.522,4686415.062,1.836111,356.4043,277154.8285,4686413.54
219,389461,2,-1.7832522080983808,-14.005952309290384,1.95,30.0,277154.522,4686415.062,1.836111,356.4043,277154.8285,4686413.54
219,389481,0,-1.379237969838798,-1.9545009005567953,1.9,24.0,277154.3795,4686415.511,1.852778,358.3961,277154.8285,4686413.54
219,389481,2,-1.3854431134939587,-13.60889326979648,0.6,22.0,277154.3795,4686415.511,1.852778,358.3961,277154.8285,4686413.54
219,389501,0,-1.4996688355818368,-1.6865371080655303,1.7,20.0,277154.3273,4686415.946,1.986111,357.6525,277154.8285,4686413.54
219,389501,2,-1.4215816422745682,-13.20940577824664,0.5,22.0,277154.3273,4686415.946,1.986111,357.6525,277154.8285,4686413.54
219,389521,0,-1.4791148448438372,-1.9175728920141255,2.35,22.0,277154.3273,4686415.946,2.047222,357.6525,277154.8285,4686413.54
219,389521,2,-0.9474704594565571,-13.118749359130701,0.25,40.0,277154.3273,4686415.946,2.047222,357.6525,277154.8285,4686413.54
219,389621,0,-1.6266389500157645,-1.1193549432112144,1.85,40.0,277153.7693,4686417.864,2.269445,3.40779,277154.8285,4686413.54
219,389801,0,-4.125571940853835,6.384531927676575,-1.75,26.0,277152.5639,4686423.038,2.577778,359.7983,277154.8285,4686413.54
219,389821,0,-4.126276005219879,6.184533166946995,0.09999999,40.0,277152.5639,4686423.038,2.619445,359.7983,277154.8285,4686413.54
219,389841,0,-4.170719738836015,6.68875703587957,-2.4,24.0,277152.4542,4686423.742,2.641667,1.0418,277154.8285,4686413.54
219,389861,0,-4.4020562003163075,7.526407591105972,-2.3,26.0,277152.3517,4686424.412,2.583334,359.5684,277154.8285,4686413.54
219,389901,0,-4.757485392814861,7.8255527629040165,1.0,26.0,277152.1489,4686425.819,2.538889,359.2575,277154.8285,4686413.54
219,389921,0,-4.723968105007698,7.325076398409101,2.8,20.0,277152.1489,4686425.819,2.530556,359.2575,277154.8285,4686413.54
219,389941,0,-4.760176772702462,7.411420341971552,5.85,40.0,277152.031,4686426.523,2.511111,358.8453,277154.8285,4686413.54
219,389961,0,-4.850180764066621,7.8870379515722355,1.8,40.0,277151.9206,4686427.205,2.563889,358.3981,277154.8285,4686413.54
219,389961,1,-5.000054510905907,8.251370025384512,1.95,20.0,277151.9206,4686427.205,2.563889,358.3981,277154.8285,4686413.54
219,389981,0,-5.047942284871191,10.115976809884707,3.2,26.0,277151.8356,4686427.908,2.488889,0.60737,277154.8285,4686413.54
219,389981,1,-4.8845941990010795,8.857637665280773,0.25,26.0,277151.8356,4686427.908,2.488889,0.60737,277154.8285,4686413.54
219,389981,2,-5.137442262616332,9.12497239315206,1.1,40.0,277151.8356,4686427.908,2.488889,0.60737,277154.8285,4686413.54
219,390001,0,-5.185635668531447,10.537138257912297,-0.5,40.0,277151.7744,4686428.577,2.483334,359.7261,277154.8285,4686413.54
219,390001,1,-5.191133172936915,9.387151398228536,2.2,24.0,277151.7744,4686428.577,2.483334,359.7261,277154.8285,4686413.54
