trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,299241,0,-0.31396947345238085,4.223070348661036,1.2,26.0,277148.0953,4686469.911,1.116667,181.5449,277148.0953,4686469.911
219,299241,1,-0.7121854107540173,4.522443138471631,0.3,22.0,277148.0953,4686469.911,1.116667,181.5449,277148.0953,4686469.911
219,299261,0,-0.34959042867916973,4.122265432126869,2.15,22.0,277148.0948,4686469.633,1.158333,182.069,277148.0953,4686469.911
219,299261,1,-0.8039904537347206,4.235934325099022,0.95,24.0,277148.0948,4686469.633,1.158333,182.069,277148.0953,4686469.911
219,299281,1,-0.6978576850522831,4.229234426422539,3.65,22.0,277148.0852,4686469.334,1.191667,179.4961,277148.0953,4686469.911
219,299301,1,-1.006367821499421,4.12220770372705,2.25,22.0,277148.0754,4686469.023,1.219445,181.2151,277148.0953,4686469.911
219,299321,1,-1.1486689892958297,4.229214141121153,1.2,14.0,277148.0754,4686469.023,1.272222,181.2151,277148.0953,4686469.911
219,299441,0,-0.8492205069016078,3.0990922757611594,2.65,20.0,277148.0228,4686467.368,1.347222,179.1534,277148.0953,4686469.911
219,299461,0,-0.3049320685267596,3.027335484824752,3.45,20.0,277148.0115,4686467.013,1.372222,177.494,277148.0953,4686469.911
219,299481,0,-0.2300579345097532,3.0888891319053657,4.45,40.0,277147.9919,4686466.658,1.383333,179.3373,277148.0953,4686469.911
219,299801,0,-1.639384153897506,-4.884406566567819,2.0,24.0,277147.9374,4686461.824,1.580556,178.768,277148.0953,4686469.911
219,299821,0,-1.6361590339786196,-4.734441241904053,0.8,22.0,277147.9374,4686461.824,1.6,178.768,277148.0953,4686469.911
219,299821,1,-1.822245334858654,-5.480612729314812,-0.7,26.0,277147.9374,4686461.824,1.6,178.768,277148.0953,4686469.911
219,299841,0,-1.6582966863472741,-4.997760383828027,0.2,22.0,277147.9329,4686461.424,1.619445,179.2738,277148.0953,4686469.911
219,299841,1,-1.8396898492161307,-5.895533473458382,-0.4,40.0,277147.9329,4686461.424,1.619445,179.2738,277148.0953,4686469.911
219,299861,0,-1.5960321198355578,-5.472005445682701,-1.3,28.0,277147.9363,4686461.013,1.641667,178.6052,277148.0953,4686469.911
219,299881,0,-1.6275776149278582,-5.8809614835617285,0.5,24.0,277147.9394,4686460.59,1.644445,178.8571,277148.0953,4686469.911
219,299901,0,-1.6195184666256244,-6.233566444939326,0.8,40.0,277147.9343,4686460.168,1.666667,178.4981,277148.0953,4686469.911
219,299921,0,-1.6547869072068095,-6.052579878866118,1.75,24.0,277147.9343,4686460.168,1.663889,178.4981,277148.0953,4686469.911
219,299941,0,-1.6279996469508755,-6.30869576996374,1.25,22.0,277147.9294,4686459.757,1.7,177.9306,277148.0953,4686469.911
219,299961,0,-1.7186066780010636,-6.552176588189325,1.85,26.0,277147.9236,4686459.312,1.716667,178.676,277148.0953,4686469.911
219,299981,0,-1.9163897626154565,-6.80046964827013,1.7,28.0,277147.9023,4686458.902,1.730556,180.725,277148.0953,4686469.911
219,300001,0,-1.9470520114738015,-7.08706968564178,1.75,24.0,277147.8889,4686458.48,1.741667,180.5352,277148.0953,4686469.911
219,300001,1,-1.9576168639569658,-8.097212439856257,1.05,24.0,277147.8889,4686458.48,1.741667,180.5352,277148.0953,4686469.911
219,300021,0,-1.9786386499423547,-6.917357328194667,1.45,26.0,277147.8889,4686458.48,1.772222,180.5352,277148.0953,4686469.911
219,300021,1,-2.0075212739516273,-8.107679046903664,0.3,22.0,277147.8889,4686458.48,1.772222,180.5352,277148.0953,4686469.911
219,300041,0,-1.9945245885640865,-7.217803761237532,1.25,26.0,277147.8672,4686458.058,1.794445,179.8321,277148.0953,4686469.911
219,300041,1,-2.0281874642799007,-8.467710482076548,1.1,30.0,277147.8672,4686458.058,1.794445,179.8321,277148.0953,4686469.911
219,300061,0,-1.9515375409259224,-7.50744206959743,1.15,26.0,277147.8531,4686457.614,1.797222,179.0321,277148.0953,4686469.911
219,300061,1,-2.0716250361783914,-8.695583051755687,1.65,26.0,277147.8531,4686457.614,1.797222,179.0321,277148.0953,4686469.911
219,300081,0,-1.9173715408077523,-7.786030617782483,1.1,24.0,277147.8472,4686457.169,1.805556,178.4817,277148.0953,4686469.911
219,300081,1,-2.0554189279969144,-8.8427438801627,1.7,22.0,277147.8472,4686457.169,1.805556,178.4817,277148.0953,4686469.911
219,300101,0,-2.0616777781889617,-8.095988419784632,1.7,28.0,277147.8327,4686456.714,1.797222,179.6523,277148.0953,4686469.911
219,300101,1,-2.178108333636216,-9.155301369652726,1.75,28.0,277147.8327,4686456.714,1.797222,179.6523,277148.0953,4686469.911
219,300121,0,-1.9503447396937414,-7.876660002703258,1.4,26.0,277147.8327,4686456.714,1.780556,179.6523,277148.0953,4686469.911
219,300121,1,-2.1364098978528383,-8.875549264292964,1.7,32.0,277147.8327,4686456.714,1.780556,179.6523,277148.0953,4686469.911
219,300141,0,-1.9966440703545631,-8.137398249406392,1.5,26.0,277147.8104,4686456.27,1.813889,181.2632,277148.0953,4686469.911
219,300141,1,-2.232110697262261,-9.252860246792547,0.95,30.0,277147.8104,4686456.27,1.813889,181.2632,277148.0953,4686469.911
219,300141,2,-1.9435151068080663,-10.546812558576253,1.3,22.0,277147.8104,4686456.27,1.813889,181.2632,277148.0953,4686469.911
219,300161,0,-1.8152092961665522,-8.387539421294111,1.6,30.0,277147.7959,4686455.815,1.827778,180.0583,277148.0953,4686469.911
219,300161,1,-2.1240593304260833,-9.51785426961642,1.0,28.0,277147.7959,4686455.815,1.827778,180.0583,277148.0953,4686469.911
219,300161,2,-1.9026349068261352,-10.917629688972479,1.7,24.0,277147.7959,4686455.815,1.827778,180.0583,277148.0953,4686469.911
219,300181,0,-1.5723796951205906,-8.572331490096952,1.8,28.0,277147.7815,4686455.36,1.816667,178.352,277148.0953,4686469.911
219,300181,1,-1.979038250119422,-9.841161194843124,1.05,26.0,277147.7815,4686455.36,1.816667,178.352,277148.0953,4686469.911
219,300181,2,-1.8579291618128382,-11.195204247603836,0.9,30.0,277147.7815,4686455.36,1.816667,178.352,277148.0953,4686469.911
219,300201,0,-1.5618868833674633,-8.847349538041854,1.75,28.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300201,1,-2.0628892150296165,-10.18615372972527,1.25,28.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300201,2,-1.8617719195884401,-11.441124579376538,1.55,30.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300221,0,-1.5991093796324265,-8.726459150616696,1.3,22.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300221,1,-2.0789641660387765,-10.015737779914073,1.7,28.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300221,2,-1.8573910427390645,-11.25117509156983,1.7,26.0,277147.7917,4686454.903,1.769445,178.6788,277148.0953,4686469.911
219,300241,0,-1.5341158227635072,-8.924273283917156,1.85,28.0,277147.7858,4686454.459,1.758334,177.5725,277148.0953,4686469.911
219,300241,1,-1.977133386770224,-10.166624054827512,1.9,24.0,277147.7858,4686454.459,1.758334,177.5725,277148.0953,4686469.911
219,300241,2,-1.7819959322459389,-11.466055228011294,1.5,28.0,277147.7858,4686454.459,1.758334,177.5725,277148.0953,4686469.911
219,300261,0,-1.7111951973678132,-9.270321975822824,2.0,24.0,277147.7961,4686454.003,1.783334,178.1982,277148.0953,4686469.911
219,300261,1,-1.9675593284494426,-10.422831165501918,1.75,28.0,277147.7961,4686454.003,1.783334,178.1982,277148.0953,4686469.911
219,300261,2,-1.8001100734116695,-11.778766542644686,1.5,22.0,277147.7961,4686454.003,1.783334,178.1982,277148.0953,4686469.911
219,300281,0,-1.9855283747327805,-9.637496871452715,1.25,26.0,277147.782,4686453.559,1.808334,180.1896,277148.0953,4686469.911
219,300281,1,-2.1919533556579296,-10.718185877249502,2.05,28.0,277147.782,4686453.559,1.808334,180.1896,277148.0953,4686469.911
219,300281,2,-2.007354639067172,-12.10758262182358,1.8,20.0,277147.782,4686453.559,1.808334,180.1896,277148.0953,4686469.911
219,300301,0,-1.9402933268054816,-9.889594088792332,1.7,28.0,277147.7761,4686453.114,1.8,180.092,277148.0953,4686469.911
219,300301,1,-2.118623164449451,-10.929881774485995,1.85,26.0,277147.7761,4686453.114,1.8,180.092,277148.0953,4686469.911
219,300301,2,-2.0462628724231875,-12.39976748029372,1.45,14.0,277147.7761,4686453.114,1.8,180.092,277148.0953,4686469.911
219,300321,0,-2.170501771591974,-9.759963567891642,2.2,24.0,277147.7761,4686453.114,1.808334,180.092,277148.0953,4686469.911
